id,imdb_id,name,file_name,file type,gray,is_invalid
1,tt0068646,The Godfather,The Godfather I (1972),avi,FALSE,0
4,tt0034583,Casablanca,Casablanca (1942),mkv,TRUE,0
6,tt0082971,Indiana Jones and the Raiders of the Lost Ark,Indiana Jones And The Raiders Of The Lost Ark 1981,avi,FALSE,0
7,tt0114814,The Usual Suspects,The_Usual_Suspects_1995,avi,FALSE,0
8,tt0133093,The Matrix,The Matrix[1999],mp4,FALSE,0
10,tt0110413,Léon: The Professional,Leon The Professional 1994,mp4,FALSE,0
11,tt0109830,Forrest Gump,Forrest_Gump,mkv,FALSE,0
12,tt0075314,Taxi Driver,Taxi Driver 1976,avi,FALSE,0
13,tt0056172,Lawrence of Arabia,Lawrence Of Arabia [1962],mkv,FALSE,0
14,tt0910970,WALL·E,Wall.E,mkv,FALSE,1
15,tt0050825,Paths of Glory,Pathes Of Glory (1957),mp4,TRUE,0
16,tt0180093,Requiem for a Dream,Requiem For A Dream,mp4,FALSE,0
17,tt0119488,L.A. Confidential,La.Confidential [1997],mkv,FALSE,0
18,tt0081398,Raging Bull,raging bull,avi,TRUE,0
20,tt1049413,Up,up,avi,FALSE,0
21,tt0118799,Life Is Beautiful,La_vita_e_bella forein (life is beautifull),avi,FALSE,0
22,tt0027977,Modern Times,Modern_Times,avi,TRUE,0
24,tt0120689,The Green Mile,Green Mile,avi,FALSE,0
25,tt0172495,Gladiator,Gladiator,mp4,FALSE,0
26,tt0105695,Unforgiven,Unforgiven 8.3,avi,FALSE,0
27,tt0477348,No Country for Old Men,No Country for Old Men 2007,avi,FALSE,0
28,tt0364569,Oldboy,Old boy,avi,FALSE,0
29,tt0246578,Donnie Darko,Donnie Darko,avi,FALSE,0
30,tt0469494,There Will Be Blood,There_Will_Be_Blood,mkv,FALSE,0
31,tt0405159,Million Dollar Baby,Million.Dollar.Baby[2004],avi,FALSE,0
32,tt0266543,Finding Nemo,FINDING_NEMO 2003,avi,FALSE,1
33,tt0796366,Star Trek,Star.Trek (2009),mkv,FALSE,0
34,tt0086250,Scarface,Scarface (1983),mkv,FALSE,0
